RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1,86011550,Moore,541,Germany,Female,45,0,187598.22,3,0,0,151621.13,1,0,5,GOLD,926
2,22202135,Martinez,434,France,Female,38,4,218123.13,4,1,0,161954.9,1,0,1,DIAMOND,908
3,79891821,Hernandez,794,Germany,Female,76,8,174120.73,3,0,1,190933.43,0,0,1,PLATINUM,914
4,93821426,Martinez,696,Spain,Male,34,1,15525.54,2,1,0,185755.19,0,1,5,DIAMOND,156
5,25094195,Wilson,814,Spain,Male,62,0,190596.29,4,0,1,4418.43,0,1,4,SILVER,558
6,96265914,Hernandez,362,Germany,Female,44,7,184719.45,2,1,0,117585.76,1,0,1,GOLD,112
7,86371840,Brown,850,Germany,Female,63,4,111480.18,4,1,0,110771.81,0,0,2,SILVER,804
8,94025430,Smith,430,Germany,Female,78,6,229914.75,2,0,1,41551.38,1,1,3,GOLD,939
9,26690337,Anderson,590,Spain,Male,35,3,42392.18,3,1,1,182735.0,0,1,2,DIAMOND,45
10,33037033,Wilson,773,France,Male,64,6,204247.5,3,0,0,145070.78,1,0,5,PLATINUM,988
11,80158402,Martinez,473,Germany,Female,79,4,14192.27,4,0,1,116837.26,1,0,5,GOLD,264
12,68857609,Jones,706,France,Female,83,5,85872.85,2,0,1,87940.39,0,0,4,SILVER,302
13,52024578,Lopez,702,Germany,Male,76,2,122039.13,2,0,1,65672.83,1,0,3,SILVER,720
14,95304386,Garcia,372,Spain,Female,30,7,55225.97,1,0,1,109524.88,1,1,2,DIAMOND,435
15,25091333,Hernandez,752,Germany,Male,67,2,78990.92,3,1,0,157947.76,1,1,3,PLATINUM,486
16,47931100,Miller,794,Germany,Female,30,9,49349.29,1,0,0,174464.68,1,1,5,GOLD,620
17,87722775,Jones,425,France,Male,76,5,30298.0,2,1,1,15.97,0,0,1,DIAMOND,248
18,73171110,Davis,301,Spain,Female,86,5,55997.8,4,0,1,186865.51,0,0,2,DIAMOND,538
19,65559804,Moore,513,Germany,Male,18,0,227774.02,1,1,0,73064.05,1,0,5,PLATINUM,752
20,40679979,Johnson,300,Germany,Female,52,3,196779.18,2,1,1,172181.32,0,1,4,GOLD,711
21,45494248,Anderson,668,Spain,Female,95,0,8938.86,1,1,0,79376.36,1,1,4,DIAMOND,910
22,32142349,Miller,521,Germany,Female,80,9,98784.56,2,0,1,58062.64,0,1,1,GOLD,160
23,65843854,Lopez,743,Spain,Female,88,3,105689.11,2,0,1,75782.42,0,1,4,SILVER,311
24,58492830,Garcia,744,France,Female,28,7,25723.61,1,0,1,78244.42,1,0,1,SILVER,571
25,95795279,Jackson,584,Germany,Male,48,7,142093.31,3,0,1,39571.49,0,0,5,SILVER,521
26,77909597,Smith,590,Germany,Female,22,5,231160.23,1,1,1,148592.55,1,0,1,GOLD,956
27,40632538,Garcia,756,Spain,Male,50,6,203019.7,1,0,1,182502.61,1,1,5,GOLD,586
28,74155419,Wilson,817,Germany,Female,31,8,179429.95,4,0,0,9083.3,0,0,3,DIAMOND,864
29,31412972,Martinez,836,Germany,Female,40,7,249660.08,4,1,0,173436.31,1,1,5,DIAMOND,714
30,76918630,Williams,717,Germany,Male,25,4,219303.74,1,1,1,172196.41,0,0,4,DIAMOND,679
31,37693682,Jackson,606,Spain,Female,61,4,100700.35,1,0,1,118886.91,0,1,5,GOLD,292
32,10506929,Johnson,636,France,Male,37,6,192373.2,4,0,1,176115.68,0,0,4,PLATINUM,883
33,70056375,Rodriguez,811,France,Male,87,3,220792.23,3,0,1,175998.32,1,1,5,DIAMOND,40
